run_id,condition_index,repetition,seed,party_adaptation,base_pressure,mean_margin,control_change_rate,party_gap,blue_position,red_position,turnout_rate
139,13,9,1750392820833064552,0.2,0.75,3.037757094032243,48.484848484848484,0.36730714642084955,-0.2015107308839795,0.16579641553687005,62.0
140,14,0,4545674758700200247,0.2,1.0,3.07268727378192,46.464646464646464,0.38339435070583383,-0.22052077549999352,0.16287357520584034,64.4
141,14,1,15100928595818884257,0.2,1.0,3.6273766232378817,38.38383838383838,0.4169741656553744,-0.19623278686890183,0.22074137878647254,60.4
142,14,2,7556415753276951465,0.2,1.0,3.1018019862205097,46.464646464646464,0.4185061916867663,-0.20458165274102783,0.21392453894573848,66.4
143,14,3,11600227935212573124,0.2,1.0,4.765590105321783,24.242424242424242,0.399979169511566,-0.18841612441004393,0.21156304510152205,61.6
144,14,4,3099784941335987845,0.2,1.0,2.8989578025911573,42.42424242424242,0.4263470062777115,-0.21108083563969318,0.21526617063801828,64.6
145,14,5,16087583940105321373,0.2,1.0,3.176248226081876,51.515151515151516,0.4025536675563778,-0.19565574740003072,0.2068979201563471,65.6
146,14,6,2869849097340617412,0.2,1.0,3.0966039152458227,44.44444444444444,0.4089585034682065,-0.23141210688131886,0.17754639658688762,70.0
147,14,7,5112556619514117297,0.2,1.0,2.744053930945057,63.63636363636363,0.40301898645250817,-0.20918395895067773,0.19383502750183043,66.0
148,14,8,4036050958779290877,0.2,1.0,3.0936509081019237,43.43434343434343,0.3724056165038474,-0.18208138563706291,0.19032423086678452,64.2
149,14,9,4541768881526946342,0.2,1.0,4.310169265160848,35.35353535353536,0.39502107016011273,-0.20015655842110713,0.1948645117390056,63.8
150,15,0,5785672570579635025,0.3,0.0,3.58637795442019,36.36363636363637,0.33056359027958826,-0.13809169006840627,0.192471900211182,65.4
151,15,1,11291116105228561017,0.3,0.0,3.479319386729155,54.54545454545455,0.33191181868840314,-0.1088342974656267,0.22307752122277646,61.4
152,15,2,1279604746805987519,0.3,0.0,4.4955524641566065,30.303030303030305,0.04356703228412349,-0.06454453102728579,-0.0209774987431623,62.6
153,15,3,2250209325576886836,0.3,0.0,3.3370981294635333,47.474747474747474,0.3054559004885879,-0.12339675454441214,0.18205914594417574,61.6
154,15,4,16177653777175231743,0.3,0.0,4.796121023860903,32.323232323232325,0.30644891051403217,-0.19294848740117054,0.11350042311286161,58.8
155,15,5,1217517230346578878,0.3,0.0,3.9388460272321186,29.292929292929294,0.3249134363682288,-0.16995179901603624,0.15496163735219254,64.2
156,15,6,11293283056338558513,0.3,0.0,2.891011387593399,55.55555555555556,0.3520387266928536,-0.25610203980360297,0.0959366868892506,67.6
157,15,7,3409622982464543205,0.3,0.0,3.434833272923776,51.515151515151516,0.25155733486454623,-0.1523909760561242,0.09916635880842205,64.0
158,15,8,17574631016349145461,0.3,0.0,5.391721180920479,17.171717171717173,0.3056987839541876,-0.14213207270820738,0.16356671124598018,63.8
159,15,9,16476358660498184445,0.3,0.0,4.588462313424703,36.36363636363637,0.379219428448619,-0.26070131605612257,0.1185181123924964,63.4
160,16,0,14621388145823126559,0.3,0.25,3.541318616147531,46.464646464646464,0.2867561919206779,-0.17703078846144146,0.10972540345923643,60.8
161,16,1,3933414652342700142,0.3,0.25,3.5025804357431007,53.535353535353536,0.34704329947030677,-0.1777963028275278,0.16924699664277895,66.6
162,16,2,8443648797949442230,0.3,0.25,3.8055610787635588,35.35353535353536,0.38139242553123986,-0.1604306040791879,0.22096182145205198,61.2
163,16,3,7468097949275079673,0.3,0.25,4.068079969428001,31.31313131313131,0.36476141660954275,-0.24241988772277331,0.12234152888676944,64.6
164,16,4,13376136667913831862,0.3,0.25,3.419105421250565,53.535353535353536,0.31404048643786875,-0.1740108215682765,0.14002966486959223,65.4
165,16,5,559343931643569586,0.3,0.25,4.386594770821856,41.41414141414141,0.27702175368183984,-0.14926215378306754,0.1277595998987723,64.4
166,16,6,2306954234809374535,0.3,0.25,3.18198898686082,47.474747474747474,0.36205553330942686,-0.18190139089642676,0.1801541424130001,60.0
167,16,7,15905250156341668734,0.3,0.25,4.286927095246519,26.262626262626263,0.3228049410064626,-0.18004274891686672,0.1427621920895959,61.0
168,16,8,2505517334141952105,0.3,0.25,3.38944144300552,53.535353535353536,0.33875299241611656,-0.1699066874313137,0.16884630498480283,60.2
169,16,9,8655283191403441419,0.3,0.25,2.948777617205821,54.54545454545455,0.2984106118512283,-0.16240669640989747,0.13600391544133084,64.2
170,17,0,7881909541238435603,0.3,0.5,2.881512555746839,61.61616161616162,0.2949042557329211,-0.1364849350931853,0.15841932063973582,68.0
171,17,1,14209386554323831490,0.3,0.5,3.5171527578570023,53.535353535353536,0.33232228608406034,-0.17922944794192439,0.15309283814213592,65.8
172,17,2,4892391776632121614,0.3,0.5,3.204430726163325,43.43434343434343,0.3488211454774993,-0.15991751377514635,0.188903631702353,63.2
173,17,3,790174306884170175,0.3,0.5,3.6070184845597693,40.4040404040404,0.3307274790581187,-0.14975111002930971,0.18097636902880904,58.6
174,17,4,15180963220744367927,0.3,0.5,3.292059039393454,48.484848484848484,0.34082913641699875,-0.1778060766703281,0.16302305974667064,67.0
175,17,5,6794229010053005822,0.3,0.5,2.844383067796298,45.45454545454545,0.3266091488978119,-0.15256724201138974,0.17404190688642218,64.2
176,17,6,1845313753473016201,0.3,0.5,3.744117763944552,39.39393939393939,0.32426592340320426,-0.16367719161776867,0.16058873178543562,67.0
177,17,7,13406534892525398653,0.3,0.5,3.0327553007786507,52.525252525252526,0.29764351641125797,-0.1688540180901812,0.12878949832107675,65.6
178,17,8,11187280609471544996,0.3,0.5,2.934424384864083,45.45454545454545,0.33729596120509264,-0.14702217626545297,0.19027378493963965,65.2
179,17,9,16235694865175605351,0.3,0.5,3.391253580880291,55.55555555555556,0.36782241278152517,-0.18469742899190633,0.18312498378961883,63.8
180,18,0,4622139533794607263,0.3,0.75,2.905579425608017,53.535353535353536,0.3708676837791036,-0.17194056516019893,0.19892711861890466,61.6
181,18,1,2635906683691921951,0.3,0.75,3.260750808696606,47.474747474747474,0.3842997213003226,-0.1941012939912752,0.19019842730904737,65.4
182,18,2,3999224927598737908,0.3,0.75,3.4992346348030243,44.44444444444444,0.38382638675799907,-0.20694758189685486,0.17687880486114424,65.8
183,18,3,11156481482851826737,0.3,0.75,4.019200306028916,37.37373737373738,0.36567711984695694,-0.17128189805149652,0.1943952217954604,62.4
184,18,4,9466758228233364281,0.3,0.75,2.7535497180086104,51.515151515151516,0.3756247191935702,-0.17928600164814848,0.1963387175454217,63.6
185,18,5,16093898530029076029,0.3,0.75,3.018696813106225,57.57575757575758,0.38362643245336653,-0.19438225090169833,0.1892441815516682,65.0
186,18,6,14496076467836675857,0.3,0.75,3.529194017490318,31.31313131313131,0.36727840536504136,-0.19324025543129905,0.1740381499337423,63.8
187,18,7,2971787035119515844,0.3,0.75,2.9401095878496033,54.54545454545455,0.3675767029139713,-0.16732873209213522,0.2002479708218361,63.2
188,18,8,15781562803843893789,0.3,0.75,2.8448760964172597,58.58585858585859,0.35185920992983266,-0.1904444341353918,0.16141477579444088,67.8
189,18,9,6883496161622208915,0.3,0.75,2.933896413292482,55.55555555555556,0.4001206067242632,-0.1975908455019453,0.20252976122231786,65.0
190,19,0,17653128420847588317,0.3,1.0,2.98421035932917,37.37373737373738,0.39264956105580684,-0.20101378701679487,0.19163577403901197,62.0
191,19,1,18194136880267351651,0.3,1.0,3.5034609864088306,41.41414141414141,0.40164989839223975,-0.2030615580560337,0.19858834033620604,69.0
192,19,2,16253412984851521207,0.3,1.0,3.6672643443766906,48.484848484848484,0.39173357876881526,-0.207031215331842,0.18470236343697327,63.0
193,19,3,9141699498964383888,0.3,1.0,2.8598214039736187,39.39393939393939,0.4034529978034265,-0.2089728059870894,0.19448019181633713,62.2
194,19,4,7145754426509700068,0.3,1.0,3.6451133692505175,36.36363636363637,0.42088891653002103,-0.20281549572643,0.21807342080359104,65.8
195,19,5,16524548293723675398,0.3,1.0,3.558089451577203,43.43434343434343,0.38273829877857324,-0.19183215704482623,0.19090614173374704,63.0
196,19,6,93133906881822650,0.3,1.0,3.6162035689092122,36.36363636363637,0.3903308242424991,-0.19016254222616708,0.20016828201633205,64.2
197,19,7,13459066228613404161,0.3,1.0,4.16777468558618,34.343434343434346,0.4153629358857876,-0.21953765319557128,0.19582528269021632,61.4
198,19,8,9631814801395520394,0.3,1.0,2.7855758826092294,38.38383838383838,0.3879204064197369,-0.197621177311609,0.1902992291081279,66.2
199,19,9,1381830517646262776,0.3,1.0,2.8333418915211945,49.494949494949495,0.38910759322817967,-0.19294141615703642,0.19616617707114323,60.0
200,20,0,4597100460868505515,0.4,0.0,3.747641684751943,40.4040404040404,0.3285606308996232,-0.1311611839538377,0.19739944694578548,64.0
201,20,1,12661995230671901117,0.4,0.0,5.317850873791563,14.141414141414142,0.3030811547566413,-0.16972804981402623,0.1333531049426151,63.8
202,20,2,4443580999381350828,0.4,0.0,3.389644942527659,48.484848484848484,0.3152319239823408,-0.13764381431487324,0.17758810966746752,61.2
203,20,3,6356991999305301058,0.4,0.0,3.4867653806865815,45.45454545454545,0.3041906754633109,-0.1594675534803629,0.144723121982948,59.8
204,20,4,7880480357013182005,0.4,0.0,4.7039643837914875,37.37373737373738,0.32835048778913956,-0.1080450260366905,0.22030546175244908,61.8
205,20,5,11524197726595687712,0.4,0.0,3.8353985384464577,36.36363636363637,0.29701200441361575,-0.11464672496414953,0.18236527944946623,63.2
206,20,6,17985466823688301435,0.4,0.0,3.2021015526349923,58.58585858585859,0.33716024138283823,-0.15412058844241744,0.1830396529404208,62.2
207,20,7,14400575767040260937,0.4,0.0,3.384811483931653,60.60606060606061,0.33465127687342533,-0.145444170971502,0.1892071059019233,63.2
208,20,8,13116542540597445672,0.4,0.0,3.551060473598595,52.525252525252526,0.30235755060385755,-0.18603819900287405,0.11631935160098349,61.0
209,20,9,5799371535288786908,0.4,0.0,3.4872306116037155,49.494949494949495,0.3041994215198709,-0.18562111784225727,0.11857830367761364,62.0
210,21,0,9317758228126454265,0.4,0.25,3.8090937015948674,39.39393939393939,0.35878123352694913,-0.20423965853781692,0.15454157498913224,62.2
211,21,1,12100755932176716014,0.4,0.25,3.9627273929557907,37.37373737373738,0.3287055068881148,-0.17169048304602108,0.1570150238420937,62.4
212,21,2,14637803407518802310,0.4,0.25,3.780583418695997,53.535353535353536,0.29127272064888776,-0.15049524812035525,0.14077747252853254,62.2
213,21,3,8530545973593547010,0.4,0.25,3.311543196941003,45.45454545454545,0.30273661373282235,-0.17679876262344565,0.12593785110937672,64.4
214,21,4,6247441897746779414,0.4,0.25,5.772662132547372,24.242424242424242,0.35781493868498576,-0.20925293545720067,0.1485620032277851,61.2
215,21,5,18172798295245585845,0.4,0.25,3.7284078355679053,36.36363636363637,0.3305532578904294,-0.1333721345032089,0.1971811233872205,64.6
216,21,6,1409938223611482455,0.4,0.25,3.0517235277368173,53.535353535353536,0.2718461119381894,-0.13053135099105162,0.1413147609471378,62.8
217,21,7,5969074188449779420,0.4,0.25,2.8669123983397573,49.494949494949495,0.2905716318374289,-0.10475506755854279,0.1858165642788861,62.2
218,21,8,783280959081694705,0.4,0.25,6.1462761698860815,14.141414141414142,0.47092869945654425,-0.29335399323395694,0.1775747062225873,62.0
219,21,9,5264115730787739160,0.4,0.25,3.3941393010461764,61.61616161616162,0.23142041855811427,-0.11998679920189206,0.1114336193562222,59.8
220,22,0,8429703657434238900,0.4,0.5,3.2695133270578025,47.474747474747474,0.3818166734671112,-0.19095268193910786,0.19086399152800332,66.4
221,22,1,18406268676847762873,0.4,0.5,2.9849637351254,49.494949494949495,0.3398533429785,-0.21065745350231624,0.12919588947618377,63.2
222,22,2,17227547470094431396,0.4,0.5,3.31615455936962,46.464646464646464,0.29508084839128623,-0.13638339085147097,0.1586974575398153,59.8
223,22,3,4940621040232011939,0.4,0.5,3.2994647727191695,54.54545454545455,0.34492106012662854,-0.19299577566362433,0.1519252844630042,62.0
224,22,4,16890383778322120698,0.4,0.5,3.590845358335603,36.36363636363637,0.38536698199728403,-0.20736023412710045,0.17800674787018358,59.6
225,22,5,17238356055251334912,0.4,0.5,3.115063494422642,55.55555555555556,0.3376496592407816,-0.1620941487975749,0.17555551044320672,64.4
226,22,6,9720886559480607163,0.4,0.5,3.647059943383508,46.464646464646464,0.31196880598179455,-0.17581193843843393,0.13615686754336062,60.8
