run_id,condition_index,repetition,seed,homophily,social_influence,mean_margin,control_change_rate,party_gap,mean_voter_ideology,switch_rate,ideology_sd,mean_degree
71,7,1,5844390551421923422,0.25,0.1,3.7712915124889315,40.4040404040404,0.020000000000000004,0.029183650608199854,0.0,0.03854997827594274,6.0
72,7,2,11991016868097401390,0.25,0.1,3.0776370484050664,50.505050505050505,0.02,-0.0025554469884185647,0.0,0.02759727159266038,6.0
73,7,3,4314987696856636963,0.25,0.1,2.726103501356935,52.525252525252526,0.019999999999999997,0.005353640713540661,0.0,0.026979111392856688,6.0
74,7,4,14671872792651078450,0.25,0.1,3.6692153572069595,42.42424242424242,0.020392091141768792,-0.0563488432353155,0.0,0.02952604799347958,6.0
75,7,5,3541253604825992940,0.25,0.1,3.085276170098964,50.505050505050505,0.020000000000000004,-0.014499304993524309,0.0,0.03066711387785794,6.0
76,7,6,12929983155939840171,0.25,0.1,3.6486922104451747,44.44444444444444,0.020000000000000004,-0.025384587173060132,0.0,0.02945725962971966,6.0
77,7,7,6881260385396976840,0.25,0.1,3.388578877491872,46.464646464646464,0.029172610444349923,-0.0017238035970329225,0.0,0.04085325409178273,6.0
78,7,8,986696458800254528,0.25,0.1,3.244092375036093,44.44444444444444,0.019999999999999997,0.021011701525469613,0.0,0.049093206553499205,6.0
79,7,9,9511987160317660280,0.25,0.1,2.437433132544098,56.56565656565657,0.02,-0.0037520882322205234,0.0,0.025027427055194115,6.0
80,8,0,13182684994270760514,0.25,0.2,3.051944926929465,50.505050505050505,0.020000000000000004,0.03042856870042096,0.0,0.033504067086399296,6.0
81,8,1,17497369085471242771,0.25,0.2,3.6412701315248035,45.45454545454545,0.020000000000000004,-0.014608918902978352,0.0,0.017991733298326068,6.0
82,8,2,16142688563249650437,0.25,0.2,3.154680778737856,40.4040404040404,0.020000000000000004,0.022000256165510386,0.0,0.0183955496185365,6.0
83,8,3,8443789836193380125,0.25,0.2,4.248998976521826,34.343434343434346,0.020000000000000004,0.03845234340773539,0.0,0.01782435144679841,6.0
84,8,4,13145474581219769686,0.25,0.2,2.9495944733803037,48.484848484848484,0.020000000000000004,-0.01719171402873326,0.0,0.021614552307778444,6.0
85,8,5,4604703871368151028,0.25,0.2,3.396296793786112,46.464646464646464,0.020000000000000004,0.038395278885596566,0.0,0.028190346382196023,6.0
86,8,6,14067409057729023322,0.25,0.2,4.009449261499771,39.39393939393939,0.020000000000000004,-0.008740182904847888,0.0,0.018839023797590664,6.0
87,8,7,10758974716298792651,0.25,0.2,3.988528862524666,39.39393939393939,0.019999999999999997,0.0025181343119628627,0.0,0.035039365068821375,6.0
